StudentID,FirstName,LastName,Class,Term,Math,English,Science,History,Attendance (%),ProjectScore,Passed (Y/N),IncomeStudent,Cohort
3079,Sophia,Martin,12B,1,79.8,83,64,86.8,87.7,44.9,Y,TRUE,26-27
3115,Ethan,Walker,10B,1,77.8,37.1,77.3,36.3,79.4,41.3,Y,TRUE,25-26
3172,Lucas,Harris,12B,1,47.9,55,58.4,73.4,87.1,55.4,Y,FALSE,27-28
3063,Noah,Smith,11B,1,31,47.6,71.9,98.9,81.3,84.2,Y,TRUE,25-26
3053,Evelyn,White,11B,2,70.1,75.2,70.5,73.9,89.3,75.1,Y,FALSE,26-27
3131,Sophia,Martin,11B,2,46.6,94.3,99.6,49.2,60.4,55.1,y,TRUE,27-28
3164,James,White,11B,1,50.4,95,45.9,53.3,76.2,91.1,Y,FALSE,26-27
3198,Sophia,Martin,10B,2,36.8,90.7,52.6,46.6,69.9,80.4,Y,FALSE,26-27
3004,Emma,White,11B,2,85.8,44.6,81.3,40.1,62.4,60.1,Y,FALSE,26-27
3156,Olivia,Taylor,11B,2,89.2,94.1,59.2,75,86.2,75.9,Y,FALSE,26-27
3001,Daniel,Brown,10B,2,93.2,91.9,81.8,34.1,96.1,42.9,Y,FALSE,27-28
3081,Evelyn,Walker,10B,1,57.2,41.5,89.8,49.4,70.1,60.2,Y,FALSE,27-28
3098,Emma,Lee,12B,1,68.6,46.1,90.8,71.8,60.9,57.5,Y,TRUE,27-28
3152,Liam,Brown,11B,2,62.4,68,40.4,89.5,87.7,89.5,Y,FALSE,27-28
3083,Olivia,Johnson,10B,2,91.8,58.5,38.4,46.4,84.4,50.4,Y,FALSE,26-27
3085,James,Smith,11B,2,80.3,76.4,62.1,31.6,61.6,98.3,Y,FALSE,25-26
3082,James,Morgan,11B,2,53.5,62.7,83,39.4,97.9,95.1,Y,FALSE,27-28
3163,Mia,Lee,12B,1,36.9,38.9,36.9,33.5,72.5,74.8,N,TRUE,25-26
3045,Benjamin,Morgan,12B,2,70.4,68.6,86.1,45.8,81.3,48.7,Y,FALSE,25-26
3121,Mason,Walker,12B,1,52.4,99.6,97.7,65,89.4,64.5,Y,FALSE,27-28
3159,Alice,Walker,11B,1,78.3,90.6,92.4,85.8,,61.2,Y,TRUE,26-27
3022,Harper,Morgan,12B,1,65,32.7,48.4,85,99.4,53.5,Y,FALSE,25-26
3039,Ava,Brown,12B,2,62.9,78.6,95.5,30.2,75,57.3,Y,FALSE,25-26
3057,Daniel,Harris,11B,1,49.3,47,75.2,35.2,99.2,66.9,Y,FALSE,25-26
3065,Emma,Walker,11B,2,79.4,58,31.2,33.1,72.4,87.5,Y,FALSE,26-27
3199,Ethan,Taylor,11B,1,41.5,90,67.5,74.4,93,57.8,Y,FALSE,25-26
3030,Benjamin,Taylor,12B,1,46.1,45.9,45.4,47,80.1,63.8,N,TRUE,26-27
3191,Emma,Morgan,11B,2,34.1,33.4,82.6,73.2,83.4,56.6,Y,FALSE,25-26
3113,Olivia,Lee,10B,1,95.2,34.1,45.3,68,81.2,55.3,Y,TRUE,27-28
3138,Mason,Walker,12B,2,99.3,52.9,64.1,85.4,61.6,53,Y,FALSE,25-26
3015,Olivia,Johnson,10B,1,100,91.9,50.7,41.3,68.5,69.2,Y,FALSE,25-26
3059,Evelyn,Morgan,10B,2,51.9,45.6,92.6,86,71,89.1,Y,FALSE,25-26
3038,Evelyn,Morgan,10B,2,83,31.2,49.5,89.6,95.4,69.6,Y,FALSE,27-28
3130,Daniel,Johnson,11B,1,76.8,30.5,63.3,46.3,88.6,44,Y,FALSE,27-28
3142,Ava,Smith,10B,1,91.6,89.3,99.8,45.7,73.6,82.2,Y,TRUE,27-28
3003,Daniel,Martin,11B,1,33.4,77.1,35,52,98.9,87.6,N,FALSE,27-28
3100,Lucas,Smith,12B,2,44.1,38.3,95.2,61.8,79.8,47.2,Y,FALSE,26-27
3154,Sophia,Martin,11B,2,WAIVED,94.3,34.1,75.7,65,72,Y,FALSE,26-27
3023,Logan,Martin,11B,1,97.7,71.1,32.8,58.9,60.3,86.6,Y,FALSE,25-26
3125,Harper,Lee,12B,2,90.1,52.7,56.4,72.4,61.1,81.5,Y,FALSE,27-28
3178,James,Johnson,10B,2,60.5,66.6,61,46.2,60.9,70.4,Y,TRUE,26-27
3087,Mason,Johnson,11B,2,74.8,81.9,33.8,59.6,65.4,85,Y,TRUE,25-26
3112,Alice,Walker,10B,2,45.1,39.4,33.5,98.8,67.7,59,Y,FALSE,26-27
3123,Amelia,Taylor,12B,2,58.3,73.6,54.6,72.6,69.9,49,Y,TRUE,27-28
3061,Sophia,Johnson,11B,1,60.3,59.3,36.1,86.9,68.9,74.5,Y,TRUE,26-27
3149,Elijah,Morgan,11B,1,46.3,54.2,67.6,74,65.7,95.9,Y,FALSE,26-27
3033,Amelia,Martin,10B,1,64.5,70.5,48.8,45,64.6,91.8,Y,FALSE,25-26
3197,Alice,White,11B,2,82.6,35.8,44.9,68,81.5,86.5,Y,FALSE,27-28
3019,Emma,Walker,12B,2,97,94.3,77,63.5,90,87.9,Y,TRUE,25-26
3024,Elijah,Smith,12B,1,30.8,75.8,64.1,98.6,65,97.8,Y,FALSE,27-28
3062,Sophia,Morgan,12B,2,69.7,37.5,37,38.3,64.7,42.5,N,TRUE,26-27
3120,Harper,Martin,12B,1,51.9,83.9,58.5,96.5,60.5,62.4,Y,TRUE,25-26
3137,Sophia,Harris,11B,2,79.4,51.8,83.5,64.9,87.4,84.9,Y,FALSE,27-28
3150,Benjamin,Morgan,12B,2,83.1,30.5,96.6,41.5,74.9,67.1,Y,TRUE,25-26
3060,Ava,Walker,12B,2,97.5,86.6,68,89.9,98.4,92.4,Y,TRUE,26-27
3102,Alice,Martin,10B,2,71.2,42.2,84,WAIVED,64.6,42.9,Y,TRUE,27-28
3146,James,Taylor,12B,1,72.5,99.2,46.1,40.2,74.6,69.3,Y,TRUE,26-27
3176,Harper,White,12B,1,72.1,82.1,59.9,64.9,62.3,89.7,Y,TRUE,27-28
3017,Amelia,White,12B,1,50.2,60.4,31.9,38.8,91.9,76.5,N,FALSE,25-26
3020,Emma,Harris,10B,1,33.4,38.1,39,95,65,94.8,Y,TRUE,26-27
3054,Noah,Smith,11B,1,81.3,43,99.3,56.3,91.1,83.7,Y,FALSE,26-27
3073,Harper,Brown,11B,2,86.2,90,56.4,51,95.9,99.7,Y,TRUE,27-28
3051,Olivia,Smith,11B,2,74.1,50.2,87.1,71.4,67.1,52.2,Y,FALSE,27-28
3048,Harper,Harris,11B,1,93.7,78.9,84.6,90.6,85,82.4,Y,FALSE,27-28
3046,Amelia,Brown,12B,1,59.7,85.9,36.8,89.6,81.8,80.2,Y,TRUE,25-26
3072,Elijah,Johnson,12B,2,82.4,33.6,33.3,47,65.3,45.8,N,TRUE,26-27
3128,Ava,Lee,10B,1,85.9,52.5,35.7,67.7,69.8,94.9,Y,TRUE,26-27
3182,Liam,Martin,10B,1,89.3,84.8,46.5,43,76.2,72.3,Y,FALSE,25-26
3139,Ava,Brown,12B,2,62.2,35.9,77.8,73.4,64,79.4,Y,FALSE,25-26
3200,Isabella,Brown,12B,1,84,88.5,64.4,51.7,68.7,96.1,Y,FALSE,25-26
3118,Ava,Taylor,10B,2,75.9,94.6,50.5,60.1,72.3,82.8,Y,TRUE,26-27
3119,Lucas,Lee,12B,2,36.7,99.1,72.7,98.1,78.9,89.1,Y,TRUE,25-26
3086,Isabella,Brown,12B,1,71.2,49.6,84.7,65.9,75.3,98.1,Y,FALSE,26-27
3044,Mia,Johnson,10B,1,75.6,62.2,90.9,46.5,69.3,74.1,Y,FALSE,25-26
3167,Mason,Johnson,11B,1,WAIVED,83.2,82.6,96.3,72.6,58.3,Y,TRUE,27-28
3088,Logan,Taylor,11B,1,92.6,63.3,37.9,36.3,98.8,56.6,Y,FALSE,27-28
3165,Emma,Smith,11B,1,94.8,93.8,34.4,75.8,93.6,90.6,Y,TRUE,27-28
3101,Noah,Lee,10B,2,72,61.8,82.6,80.2,80.2,54.6,Y,FALSE,27-28
3091,Amelia,Smith,12B,2,51.9,42.6,72.1,37.3,93.3,68.4,Y,FALSE,27-28
3168,Mason,Taylor,12B,2,47.7,61.9,45.1,97.9,99.2,52.1,Y,FALSE,25-26
3036,Sophia,Brown,11B,2,77.6,91,44.5,79.8,87.5,79.9,Y,TRUE,25-26
3187,Logan,Walker,11B,1,82.3,43.5,41,43.9,61.2,56,Y,FALSE,25-26
3189,James,Taylor,10B,2,37.2,45.6,57.8,63.5,60.5,55.5,Y,TRUE,26-27
3035,Liam,Smith,11B,1,50.7,95.5,84.5,59.3,72.6,58.8,Y,TRUE,27-28
3104,Mia,White,11B,1,32.1,50.8,69.7,42.3,92,57.9,N,FALSE,26-27
3169,Amelia,Martin,12B,1,45.1,82,52.4,82.3,66.5,71.4,Y,FALSE,27-28
3192,Amelia,Morgan,11B,1,78.5,68.9,37.1,32,61.8,84.9,Y,TRUE,26-27
3108,Mia,Taylor,11B,2,72.5,34,40.9,54.2,93.6,52,Y,FALSE,25-26
3070,Alice,Smith,10B,1,41.3,90.6,49.9,53.8,62,87.8,Y,FALSE,25-26
3097,Evelyn,Brown,10B,2,45.2,75.7,37.3,52.8,82.8,84.8,Y,TRUE,27-28
3052,Ethan,Taylor,10B,2,99.5,75.7,68.6,34.3,97.3,62.4,Y,TRUE,26-27
