StudentID,FirstName,LastName,Class,Term,Math,English,Science,History,Attendance (%),ProjectScore,Passed (Y/N),IncomeStudent,Cohort
1079,Emma,White,11A,2,62,79,75,43,79.9,66,Y,TRUE,25-26
1115,Alice,Martin,10A,2,62,55,67,81,88,61,Y,FALSE,26-27
1172,Daniel,White,12A,1,99,79,81,79,85.9,80,Y,FALSE,27-28
1063,Elijah,Lee,12A,1,65,75,88,75,,71,Y,FALSE,25-26
1053,Benjamin,Morgan,11B,1,60,37,88,78,77.5,68,Y,FALSE,25-26
1131,Noah,Lee,11B,1,85,99,72,84,93.8,94,Y,TRUE,25-26
1164,Ava,Taylor,11A,1,76,84,66,73,93,99,Y,FALSE,27-28
1198,Daniel,Taylor,11A,1,40,49,78,64,100,50,N,TRUE,27-28
1004,Ethan,Morgan,12A,2,82,89,64,79,87.7,76,Y,TRUE,27-28
1156,Ava,Harris, 10B,1,WAIVE,62,55,56,73.8,52,N,TRUE,25-26
1001,James,White,12A,2,83,77,75,89,97.2,72,Y,FALSE,26-27
1081,Emma,Martin,10B,2,100,90,76,52,73.1,98,Y,FALSE,27-28
1098,Lucas,Brown,10A,1,64,70,84,77,85.5,72,Y,FALSE,25-26
1152,Amelia,Walker,12A,1,94,94,95,66,62.2,77,Y,TRUE,27-28
1083,Harper,Lee,10B,2,58,55,87,51,74.6,79,Y,TRUE,25-26
1085,Benjamin,Lee,10B,2,59,40,69,69,85.5,53,N,FALSE,27-28
1082,Ava,Johnson,12A,1,95,65,60,86,81.5,95,Y,TRUE,26-27
1163,Daniel,Morgan,11A,2,88,68,75,73,87.8,63,Y,FALSE,25-26
1045,Lucas,Smith,10A,1,68,58,57,WAIVE,98.1,61,Y,FALSE,26-27
1121,Benjamin,Smith,10A,2,47,65,83,51,90,58,Y,FALSE,26-27
1159,Elijah,Harris,10B,1,41,77,80,88,84.1,80,Y,TRUE,26-27
1022,Isabella,White,12B,1,89,42,74,68,83,67,Y,TRUE,25-26
1039,Sophia,Johnson,10B,2,53,53,52,48,75.1,50,N,TRUE,25-26
1057,Alice,Morgan,11B,2,59,72,72,81,90,66,Y,FALSE,27-28
1065,Benjamin,Taylor,11A,1,98,82,90,70,76.5,77,Y,FALSE,26-27
1199,Olivia,Harris,12A,1,83,67,65,75,92.5,58,Y,FALSE,27-28
1030,Amelia,Harris,10A,2,69,68,WAIVE,60,100,63,Y,TRUE,25-26
1191,Mia,Smith,10A,2,46,88,72,97,87.8,69,Y,FALSE,27-28
1113,Liam,Lee,12A,1,94,100,97,96,81.3,83,Y,FALSE,25-26
1138,Amelia,Brown, 11B,1,69,58,73,68,77,68,Y,FALSE,25-26
1015,James,Walker,12A,2,83,100,56,52,88,59,Y,FALSE,25-26
1059,Daniel,Brown,10A,1,83,68,84,88,74.3,84,Y,TRUE,27-28
1038,Olivia,Walker,11B,2,61,76,84,72,78.2,84,Y,TRUE,27-28
1130,Lucas,Martin,10A,2,81,44,70,59,81.8,62,Y,FALSE,27-28
1142,Emma,Brown,10B,1,67,69,64,38,84.7,57,N,FALSE,27-28
1003,Emma,Johnson,10A,1,85,97,55,100,69.6,90,Y,FALSE,26-27
1100,Olivia,Brown,12A,1,72,100,82,90,78.5,72,Y,TRUE,26-27
1154,Isabella,Taylor,12A,1,100,97,80,65,87.1,86,Y,FALSE,25-26
1023,Benjamin,Walker,11B,1,64,65,62,80,,77,Y,FALSE,25-26
1125,Alice,Lee,10A,2,100,47,71,47,83.7,55,Y,FALSE,25-26
1178,Isabella,Walker,10B,1,53,84,49,71,71.7,82,Y,TRUE,26-27
1087,Ethan,Taylor,10B,2,86,46,73,81,82.7,71,Y,FALSE,27-28
1112,Mia,White,12B,1,100,85,92,63,80.9,88,Y,FALSE,27-28
1123,Mia,Taylor,12B,2,60,55,66,64,74.6,59,Y,FALSE,27-28
1061,Liam,Brown,11A,2,75,87,81,80,78,66,Y,FALSE,25-26
1149,Sophia,Taylor,11A,2,42,82,51,72,62,63,Y,FALSE,25-26
1033,James,Taylor,12A,2,91,92,WAIVE,55,91.9,77,Y,FALSE,26-27
1197,Benjamin,Johnson,11B,2,55,43,62,76,99.6,71,N,FALSE,27-28
1019,Lucas,Morgan,10A,1,85,86,78,68,74,88,Y,FALSE,27-28
1024,Ava,Walker,12A,1,55,89,62,83,85.3,80,Y,FALSE,25-26
1062,James,Martin,11A,1,90,55,86,94,82.6,70,Y,FALSE,27-28
1120,Evelyn,Brown,12B,1,72,41,100,62,94.1,67,Y,FALSE,26-27
1137,Noah,Morgan,10A,1,73,70,56,63,93.6,69,Y,FALSE,26-27
1150,Evelyn,Martin,12A,1,85,88,88,88,80.6,76,Y,TRUE,26-27
1060,Noah,Martin,12A,1,65,88,86,79,76.1,94,Y,FALSE,27-28
1102,Amelia,Taylor,11B,1,78,78,60,92,87.9,83,Y,TRUE,27-28
1146,James,Johnson,11B,1,63,67,63,77,84.6,83,Y,FALSE,27-28
1176,Ethan,Brown,10B,1,71,73,54,67,98,68,Y,FALSE,27-28
1017,Evelyn,Johnson,11B,2,61,59,60,45,68.8,59,N,FALSE,26-27
1020,Logan,Smith,12B,1,82,68,68,100,77.9,71,Y,TRUE,26-27
1054,Ethan,Walker,11B,1,50,49,51,47,87.3,50,N,FALSE,25-26
1073,James,Lee,11B,2,56,76,74,59,81.2,78,Y,FALSE,27-28
1051,Amelia,Lee,11B,1,57,89,86,64,85.8,87,Y,FALSE,25-26
1048,Sophia,Harris,11B,1,86,70,52,64,70.9,68,Y,FALSE,26-27
1046,Elijah,Smith,12A,2,81,90,80,69,72.9,85,Y,TRUE,26-27
1072,Ethan,Harris,12A,1,70,78,87,87,85,73,Y,FALSE,25-26
1128,Logan,Johnson,11A,1,69,62,70,66,73.3,63,Y,FALSE,27-28
1182,Isabella,Brown,12A,2,92,51,73,61,,69,Y,FALSE,25-26
1139,Harper,White,12B,1,84,WAIVE,96,60,86.1,63,Y,FALSE,25-26
1200,Lucas,Harris,11B,2,100,80,60,75,90.9,80,Y,FALSE,26-27
1118,Amelia,Johnson,11A,1,34,87,84,71,77.7,71,Y,TRUE,27-28
1119,Mia,Johnson,10A,1,63,76,52,72,69.7,76,Y,FALSE,25-26
1086,James,Brown,12B,2,67,100,71,67,86.7,85,Y,FALSE,26-27
1044,Emma,Morgan,10B,1,31,67,51,46,81.9,58,N,FALSE,25-26
1167,Logan,Lee,10A,1,72,82,100,98,73.1,80,Y,TRUE,26-27
1088,Noah,Harris,11A,2,55,63,76,73,87,80,Y,FALSE,26-27
1165,Mason,Morgan,10B,1,52,42,61,50,78.6,52,N,TRUE,25-26
1101,Logan,Walker,10A,1,32,100,76,54,60,67,Y,FALSE,25-26
1091,Harper,Harris,10B,2,65,76,68,65,78.5,78,Y,FALSE,27-28
1168,Alice,Johnson,10B,1,74,67,65,68,85.6,65,Y,FALSE,26-27
1036,Liam,Smith,12B,1,72,49,86,93,100,82,Y,TRUE,25-26
1187,Daniel,Martin,12A,2,94,60,86,91,91.1,76,Y,FALSE,25-26
1189,Emma,Lee,12B,2,98,88,68,89,72.5,100,Y,FALSE,25-26
1035,Mason,Walker,10B,2,96,81,60,63,82.4,80,Y,FALSE,26-27
1104,Sophia,White,12A,1,79,74,49,84,77.1,61,Y,TRUE,25-26
1169,Elijah,Martin,10B,1,52,72,73,67,85.9,62,Y,TRUE,26-27
1192,Benjamin,Brown,10A,1,74,60,84,WAIVE,75.7,68,Y,FALSE,25-26
1108,Amelia,Martin,11A,2,67,83,69,97,89.2,76,Y,FALSE,27-28
1070,Daniel,Johnson,11B,1,67,57,55,52,85.3,72,N,FALSE,26-27
1097,Evelyn,Morgan,11B,2,62,83,41,71,90.1,56,Y,FALSE,26-27
1052,Lucas,Johnson,11A,2,84,35,80,94,97.3,69,Y,FALSE,25-26
1177,Liam,Taylor,10A,2,54,54,73,88,75.2,71,Y,TRUE,27-28
1007,Liam,Harris,12A,1,100,84,64,63,88.1,60,Y,FALSE,25-26
1014,Sophia,Martin,10A,2,68,82,94,83,96,80,Y,TRUE,25-26
1107,Alice,Walker,10A,2,59,46,44,75,75.3,67,N,FALSE,27-28
1171,Ethan,Martin,10A,2,78,87,57,91,82.7,85,Y,FALSE,27-28
1093,Harper,Taylor,10B,2,60,84,62,79,60,50,Y,FALSE,27-28
1173,Lucas,Lee,12B,1,91,70,73,68,87.4,86,Y,FALSE,27-28
1161,Ethan,Johnson,11A,1,71,94,81,66,99.1,67,Y,FALSE,26-27
1049,Evelyn,Harris,10B,1,78,100,13,34,85.7,65,N,FALSE,26-27
1144,Evelyn,Lee,12A,1,89,75,69,91,100,72,Y,FALSE,27-28
1012,Sophia,Smith,12A,2,100,82,70,78,65.9,79,Y,FALSE,25-26
1055,Emma,Harris,10B,2,100,47,40,52,79.7,67,N,TRUE,25-26
1068,Ethan,White,10B,1,51,65,72,55,73.7,64,Y,FALSE,25-26
1071,Olivia,Lee,12A,1,64,81,70,77,87.5,90,Y,FALSE,25-26
1031,Lucas,White,12B,1,60,77,100,82,73.3,88,Y,FALSE,25-26
,Elijah,Browner,12A,2,71,83,86,100,65.4,77,Y,FALSE,25-26
1006,Sophia,Lee,12B,1,73,84,59,88,68.1,63,Y,FALSE,25-26
1043,Liam,White,11A,1,76,65,88,87,100,82,Y,TRUE,25-26
1066,Harper,Smith,10A,2,33,58,93,62,69,50,Y,TRUE,27-28
1026,Harper,Walker,10B,2,71,53,81,46,92,68,Y,FALSE,27-28
1157,Liam,Johnson,10B,2,81,81,100,36,69,73,Y,TRUE,26-27
1184,Lucas,Taylor,12A,1,73,96,68,75,77.9,98,Y,FALSE,26-27
1194,Ava,Brown,11B,2,60,31,88,56,97.2,65,N,FALSE,26-27
1135,Mason,Smith,11A,2,48,84,82,76,81.1,76,Y,FALSE,27-28
1179,Olivia,Johnson,11A,1,98,71,90,71,91.8,82,Y,FALSE,27-28
1186,Elijah,White,11A,2,67,79,80,86,93.8,68,Y,FALSE,27-28
1114,Emma,Smith,11B,2,57,92,88,77,,67,Y,FALSE,25-26
1133,Logan,Harris,12A,1,69,81,91,46,84.7,75,Y,FALSE,25-26
1158,Evelyn,Smith,12B,2,64,79,70,83,80.9,68,Y,FALSE,25-26
1126,Alice,Smith,12B,1,53,65,74,72,94.9,65,Y,FALSE,25-26
1140,Ava,Morgan,11B,2,92,83,75,45,73.8,65,Y,TRUE,26-27
1116,Noah,Johnson,12A,1,65,WAIVE,63,90,78.7,84,Y,FALSE,26-27
1195,James,Smith,11B,2,71,82,74,100,79.2,75,Y,FALSE,27-28
1029,Noah,Brown,11B,1,66,51,57,74,89.6,61,Y,FALSE,25-26
1124,Daniel,Lee,11B,2,72,77,58,91,82.9,88,Y,FALSE,26-27
1009,Emma,Walker,11B,1,61,48,66,60,89.1,65,N,TRUE,26-27
1162,Liam,Morgan,12A,1,92,96,87,56,97.1,88,Y,FALSE,27-28
1155,Mia,Morgan,12A,2,70,60,77,95,96.4,83,Y,FALSE,27-28
1188,Mason,Martin,10A,2,85,79,80,59,98.1,76,Y,FALSE,25-26
1084,James,Harris,10B,2,89,51,68,75,98.1,80,Y,TRUE,25-26
1092,Lucas,Walker,12A,2,82,59,86,100,90.3,89,Y,FALSE,25-26
1111,Daniel,Harris,10A,2,100,63,80,45,79.4,59,Y,FALSE,26-27
1174,Ava,Martin,12B,1,78,90,76,78,80.5,100,Y,TRUE,25-26
1183,Liam,Martin,12A,2,99,70,84,97,87.8,83,Y,FALSE,27-28
1042,Mason,Lee,10B,1,62,67,46,64,85.8,66,N,FALSE,25-26
1011,Olivia,Smith,11A,1,49,78,100,91,70.6,75,Y,FALSE,26-27
1040,Harper,Morgan,11B,1,60,66,70,73,91.3,68,Y,TRUE,26-27
1056,Mason,Harris,11A,1,70,78,82,83,88.6,93,Y,FALSE,25-26
1010,Evelyn,White,10B,1,60,93,53,68,77.3,70,Y,FALSE,26-27
1058,Logan,Morgan,10A,1,WAIVE,66,75,88,90.8,55,Y,TRUE,27-28
1153,Isabella,Martin,10A,1,66,44,66,57,87.8,61,N,FALSE,27-28
1180,Liam,Walker,10B,1,71,67,74,71,96.6,62,Y,FALSE,25-26
1005,Benjamin,Harris,12A,2,65,83,51,66,99.6,60,Y,FALSE,27-28
