StudentID,FirstName,LastName,Class,Term,Math,English,Science,History,Attendance (%),ProjectScore,Passed (Y/N),IncomeStudent,Cohort
2079,Mia,Taylor,11B,1,98.9,55.2,67.6,59.5,82.5,40.2,Y,FALSE,26-27
2115,Ethan,Martin,10B,1,84.3,95,99.4,46.9,98,52.7,Y,FALSE,26-27
2172,Ava,Martin,12B,1,83.9,90.3,66.9,92.3,81,90.6,Y,FALSE,25-26
2063,Sophia,Harris,11B,1,97,31.4,32.6,51.3,63.5,54.9,Y,FALSE,27-28
2053,Noah,Johnson,12B,1,99.8,45.5,59.1,68.7,73.7,59.1,Y,,26-27
2131,Alice,Brown,11B,1,38.7,32.7,40.8,52.4,60.1,41.3,N,FALSE,25-26
2164,Olivia,Smith,10B,1,WAIVE,48,57.6,50.1,81.6,60.7,Y,FALSE,26-27
2198,Evelyn,Walker,10B,1,98.8,33.3,45.3,88.1,71.4,69.8,Y,FALSE,26-27
2004,Logan,Smith,10B,2,33.9,66,53.2,99.4,99.1,51.2,Y,TRUE,27-28
2156,James,Martin,11B,1,63.2,70.4,90,85.8,67.9,56.3,Y,FALSE,26-27
2001,Benjamin,Smith,12B,1,60.5,88.9,88.9,70.8,65,80.5,Y,FALSE,25-26
2081,Olivia,Harris,11B,2,78.1,66.2,85.2,78.1,86.9,64.9,Y,TRUE,27-28
2098,Isabella,Brown,12B,1,33.4,59.2,84.4,39.1,86.7,92,Y,TRUE,25-26
2152,Daniel,Smith,11B,1,69.9,35.1,58.9,36.6,61.3,98.4,Y,TRUE,25-26
2083,Liam,Martin,12B,1,38.6,70.5,WAIVE,36.1,68.5,54.2,N,TRUE,25-26
2085,Ethan,Brown,10B,1,55.4,82.6,34.1,96.6,98.1,52,Y,FALSE,25-26
2082,Emma,Lee,12B,1,55.6,38.1,90.5,37.8,76.1,95.8,Y,TRUE,26-27
2163,Olivia,Martin,11B,2,62,74.8,34.8,37.1,65.8,48.6,Y,TRUE,27-28
2045,Sophia,Morgan,10B,1,56.6,47.6,54.7,52.4,97.5,74.9,Y,FALSE,25-26
2121,Harper,Harris,10B,2,64.1,89.3,52.8,78.8,98.4,74.8,Y,TRUE,25-26
2159,Noah,Harris,10B,1,46.7,99.2,43.8,44.5,83.2,67.3,Y,TRUE,27-28
2022,James,Smith,11B,2,33.5,32.8,50,65.7,99.6,73.7,N,FALSE,25-26
2039,Isabella,Walker,11B,1,68.1,48.1,46,97.2,97.8,99.6,Y,FALSE,26-27
2057,Harper,Taylor,12B,2,48.7,83.6,41.3,85.1,80.9,57,Y,FALSE,26-27
2065,Olivia,White,12B,1,36.1,91.9,55.4,60.3,82.9,78.6,Y,FALSE,27-28
2199,Benjamin,White,12B,1,77,57.3,95,65.6,80.4,44.7,Y,TRUE,26-27
2030,Elijah,Harris,10B,2,90.3,93.1,50.6,44.3,62.6,49.4,Y,FALSE,26-27
2191,Mason,White,12B,2,92.4,75.9,62.5,63.9,97.1,61.4,Y,FALSE,26-27
2113,Sophia,Smith,10B,1,42.2,36.4,53.3,44.9,97.8,55.2,N,TRUE,27-28
2138,Elijah,Smith,12B,2,54.2,81,56.3,59,80.7,77.8,Y,TRUE,27-28
2015,Lucas,Taylor,12B,1,60.9,96.4,46,73.1,94,76.3,Y,FALSE,26-27
2059,Alice,Johnson,10B,1,39,73.3,45,54.2,97.7,43.9,Y,FALSE,27-28
2038,Ethan,White,10B,1,50.1,39.6,42.1,78.7,90.4,58.2,Y,TRUE,25-26
2130,Isabella,Morgan,12B,2,31.4,95.7,87.3,69,65.3,98.8,Y,FALSE,26-27
2142,Logan,White,10B,2,67.9,94.6,89,74.5,,45.4,Y,TRUE,25-26
2003,Olivia,Morgan,11B,2,64,39.4,33.7,89.2,70.8,50.5,Y,FALSE,26-27
